480	5634668	26	19
481	5634870	16	16
482	5635004	115	56
483	5635685	693	193
484	5639754	4354	718
485	5662644	1	1
486	5662655	1124	609
487	5669487	56	38
488	5669858	1129	363
489	5676535	413	170
490	5679171	49	33
491	5679546	20	16
492	5679701	1	1
493	5679713	3316	936
494	5699020	2777	93
495	5710759	3313	1038
496	5729515	3187	887
497	5746496	3147	1150
498	5764782	1094	398
499	5771033	670	237
500	5775035	142	82
501	5775938	703	353
502	5780309	193	90
503	5781547	783	402
504	5786396	71	38
505	5786864	2095	658
506	5799115	270	121
507	5800666	1361	524
508	5808848	147	48
509	5809852	1	1
510	5809864	43	29
511	5810184	8269	1965
512	5856137	6089	1024
513	5889224	3847	693
514	5908837	1116	454
515	5915758	122	95
516	5916528	455	185
517	5919272	173	102
518	5920281	764	253
519	5924606	190	131
520	5925884	25	21
521	5926068	17	14
522	5926204	1061	334
523	5932478	14919	1226
524	6003784	2803	601
525	6018255	1	1
526	6018267	3855	681
527	6038632	1426	357
528	6046774	206	106
529	6048078	1	1
530	6048090	23	11
531	6048258	646	321
532	6052235	1174	392
533	6059115	274	178
534	6060989	101	63
535	6061688	17	15
536	6061823	925	101
537	6065895	7373	1634
538	6104527	227	144
539	6106103	113	68
540	6106871	540	56
541	6109836	4054	1274
542	6133008	4819	762
543	6157491	176	123
544	6158679	140	57
545	6159532	443	220
546	6162385	679	319
547	6166571	37	17
548	6166817	2368	745
549	6180511	1491	200
550	6188282	5255	860
551	6216807	102	62
552	6217437	2128	905
553	6228959	5053	929
554	6256325	5	5
555	6256373	1113	391
556	6263160	1308	83
557	6269830	302	187
558	6271803	476	170
559	6274754	609	305
560	6278646	13	13
561	6278755	11619	2140
562	6341432	180	50
563	6342530	1411	401
564	6350011	956	280
565	6355754	1495	699
566	6364871	608	346
567	6368710	4405	513
568	6391536	5	5
569	6391583	63	18
570	6391960	77	24
571	6392435	389	203
572	6394956	549	225
573	6398270	1013	431
574	6404596	1	1
575	6404608	323	197
576	6406619	184	112
577	6407811	1062	521
578	6414523	45	14
579	6414829	185	15
580	6415802	89	43
581	6416406	10	8
582	6416493	43	5
583	6416697	77	34
584	6417225	735	249
585	6421623	2	2
586	6421644	221	132
587	6423118	25	17
588	6423296	886	481
589	6428715	8	8
590	6428784	497	264
591	6431962	6535	1309
592	6467853	242	109
593	6469354	879	372
594	6474565	2204	1617
595	6488060	18420	1935
596	6579271	517	244
597	6582445	1390	615
598	6591209	620	137
599	6594438	5620	1165
600	6623872	2667	593
601	6638698	512	299
602	6641955	254	129
603	6643609	15916	499
604	6712671	16	14
605	6712791	31644	1018
606	6853713	4361	1396
607	6879512	3590	557
608	6899505	1059	209
609	6905562	1882	793
610	6916307	13743	1020
611	6986872	489	142
612	6989662	801	315
613	6994801	2	1
614	6994815	1476	447
615	7003287	1985	719
616	7015161	8	5
617	7015226	3538	1194
618	7035598	838	411
619	7040860	58	46
620	7041271	422	161
621	7043828	1077	355
622	7050128	97	70
623	7050809	1565	602
624	7059567	1455	327
625	7067922	10	10
626	7068007	25	17
627	7068189	167	57
628	7069267	169	101
629	7070393	65	33
630	7070798	135	67
631	7071648	695	265
632	7075753	137	74
633	7076599	6546	597
634	7109605	440	150
635	7112241	800	351
636	7117281	47	29
637	7117610	1272	543
638	7125183	3543	929
639	7145100	351	208
640	7147332	4533	1349
641	7172905	10678	1801
642	7230296	10102	1198
643	7282874	4085	695
644	7306002	2477	812
645	7320382	2780	830
646	7336233	194	62
647	7337399	3	3
648	7337427	2361	669
649	7351350	2817	680
650	7367478	873	440
651	7372794	256	154
652	7374472	175	124
653	7375647	3358	808
654	7394295	61	51
655	7394721	498	230
656	7397714	1	1
657	7397725	360	140
658	7399969	85	38
659	7400530	1292	553
660	7408351	10807	461
661	7463457	3168	638
662	7479374	534	350
663	7482579	110	50
664	7483291	2944	814
665	7499976	4	3
666	7500009	2000	685
667	7511748	420	177
668	7514380	543	183
669	7517539	182	97
670	7518685	496	117
671	7521441	3815	2279
672	7543182	38	29
673	7543469	487	126
674	7546376	206	27
675	7547544	2881	760
676	7563683	2072	275
677	7574458	2039	236
678	7585004	1476	278
679	7592966	1239	131
680	7599407	3117	333
681	7615008	1728	623
682	7624951	473	213
683	7627957	771	286
684	7632661	2372	670
685	7646322	197	97
686	7647533	1144	386
687	7654293	5053	381
688	7679477	6938	408
689	7713538	54	32
690	7713900	46	27
691	7714213	34	12
692	7714433	102	56
693	7715099	4900	732
694	7739586	367	141
695	7741757	848	110
696	7746492	4439	1097
697	7771431	4508	906
698	7796742	4272	1060
699	7821121	4096	1003
700	7844189	542	195
701	7847460	376	151
702	7849685	1055	371
703	7856091	79	39
704	7856631	1115	456
705	7863064	75	36
706	7863568	361	155
707	7865909	810	379
708	7870813	347	181
709	7873052	82	46
710	7873598	244	137
711	7875170	253	86
712	7876605	493	214
713	7879541	306	146
714	7881370	219	151
715	7882781	796	371
716	7887818	628	250
717	7891714	258	140
718	7893382	33	19
719	7893597	664	213
720	7897503	979	423
721	7903460	130	99
722	7904379	687	291
723	7908797	6369	488
724	7940014	3905	1233
725	7962725	3717	1290
726	7984366	216	123
727	7985650	3152	1023
728	8003605	1342	510
729	8011858	1239	689
730	8019624	3473	883
731	8038716	12969	1056
732	8100867	3295	828
733	8118636	4255	964
734	8141869	3449	852
